CID	Image	Gender	Ethnicity	LR
055	17	f	6	r
055	24	f	6	l
055	03	f	6	l
055	26	f	6	r
055	18	f	6	l
055	14	f	6	r
055	25	f	6	l
055	21	f	6	l
055	20	f	6	r
055	23	f	6	r
055	12	f	6	l
055	22	f	6	l
055	16	f	6	r
055	07	f	6	r
056	01	m	1	r
056	09	m	1	r
056	10	m	1	l
056	02	m	1	r
056	13	m	1	r
056	29	m	1	r
056	22	m	1	r
056	15	m	1	r
056	11	m	1	l
056	03	m	1	l
056	05	m	1	l
056	28	m	1	r
056	07	m	1	r
056	08	m	1	l
056	12	m	1	l
056	24	m	1	r
056	18	m	1	l
056	19	m	1	r
056	23	m	1	r
056	21	m	1	r
056	26	m	1	l
056	27	m	1	l
056	20	m	1	l
057	17	m	4	l
057	14	m	4	r
057	10	m	4	r
057	18	m	4	l
057	12	m	4	r
057	06	m	4	l
057	26	m	4	r
057	04	m	4	r
057	08	m	4	r
057	13	m	4	l
057	20	m	4	r
057	21	m	4	r
057	19	m	4	r
057	16	m	4	r
057	03	m	4	l
057	07	m	4	l
057	02	m	4	r
057	05	m	4	r
057	01	m	4	r
057	22	m	4	r
057	27	m	4	r
057	28	m	4	l
057	09	m	4	r
058	08	m	4	l
058	22	m	4	l
058	12	m	4	r
058	27	m	4	l
058	15	m	4	l
058	17	m	4	r
058	30	m	4	r
058	24	m	4	l
058	01	m	4	l
058	05	m	4	l
058	25	m	4	r
058	23	m	4	l
058	10	m	4	r
058	20	m	4	l
058	16	m	4	l
058	13	m	4	r
058	04	m	4	l
058	19	m	4	r
058	21	m	4	r
058	06	m	4	l
058	28	m	4	r
058	29	m	4	r
058	26	m	4	l
058	02	m	4	l
059	02	f	4	r
059	19	f	4	r
059	04	f	4	r
059	05	f	4	r
059	23	f	4	l
059	17	f	4	l
059	18	f	4	r
059	11	f	4	r
059	09	f	4	r
059	21	f	4	l
059	20	f	4	l
059	22	f	4	r
059	06	f	4	l
059	28	f	4	r
059	08	f	4	l
059	26	f	4	r
059	03	f	4	l
059	16	f	4	l
059	01	f	4	l
059	15	f	4	r
059	25	f	4	r
059	27	f	4	l
060	24	f	1	r
060	17	f	1	r
060	11	f	1	r
060	06	f	1	l
060	26	f	1	l
060	22	f	1	r
060	04	f	1	l
060	19	f	1	l
060	10	f	1	l
060	21	f	1	r
060	14	f	1	l
060	01	f	1	r
060	12	f	1	l
060	13	f	1	r
060	16	f	1	l
060	09	f	1	l
060	20	f	1	r
060	25	f	1	r
060	18	f	1	r
060	27	f	1	r
060	15	f	1	r
060	28	f	1	l
061	09	f	1	l
061	04	f	1	l
061	13	f	1	l
061	11	f	1	l
061	07	f	1	l
061	02	f	1	l
061	14	f	1	l
061	12	f	1	r
061	08	f	1	l
061	05	f	1	l
061	03	f	1	l
061	16	f	1	r
062	01	m	1	l
062	10	m	1	l
062	07	m	1	r
062	11	m	1	r
062	18	m	1	r
062	09	m	1	l
062	12	m	1	r
062	17	m	1	r
062	14	m	1	r
062	04	m	1	r
062	08	m	1	r
062	03	m	1	r
063	01	m	1	r
063	24	m	1	l
063	09	m	1	l
063	16	m	1	l
063	07	m	1	r
063	11	m	1	l
063	03	m	1	r
063	02	m	1	r
063	19	m	1	l
063	18	m	1	l
063	12	m	1	r
063	10	m	1	r
063	22	m	1	l
063	13	m	1	r
063	15	m	1	r
063	05	m	1	l
063	23	m	1	l
063	20	m	1	l
063	14	m	1	r
064	15	f	1	l
064	03	f	1	l
064	12	f	1	l
064	01	f	1	l
064	17	f	1	l
064	02	f	1	l
064	19	f	1	l
064	18	f	1	l
064	10	f	1	l
064	04	f	1	l
064	11	f	1	l
064	09	f	1	l
064	08	f	1	l
064	05	f	1	l
064	13	f	1	l
065	07	f	1	r
065	21	f	1	r
065	14	f	1	l
065	05	f	1	l
065	12	f	1	r
065	08	f	1	l
065	09	f	1	l
065	11	f	1	r
065	01	f	1	l
065	20	f	1	r
065	02	f	1	l
065	15	f	1	r
065	16	f	1	l
065	04	f	1	l
065	18	f	1	l
065	03	f	1	l
066	04	f	1	l
066	06	f	1	r
066	05	f	1	r
068	18	m	1	l
068	22	m	1	l
068	06	m	1	l
068	05	m	1	r
068	04	m	1	l
068	12	m	1	r
068	15	m	1	r
068	09	m	1	r
068	10	m	1	r
068	14	m	1	l
068	08	m	1	l
068	07	m	1	r
068	02	m	1	l
068	19	m	1	l
068	21	m	1	r
068	23	m	1	r
068	01	m	1	r
068	25	m	1	r
068	24	m	1	r
068	13	m	1	l
069	14	f	1	l
069	11	f	1	r
069	08	f	1	r
069	13	f	1	l
069	06	f	1	r
069	07	f	1	l
069	15	f	1	l
069	09	f	1	r
069	12	f	1	r
069	05	f	1	r
070	08	m	1	l
070	23	m	1	r
070	21	m	1	r
070	02	m	1	r
070	22	m	1	l
070	14	m	1	l
070	06	m	1	l
070	12	m	1	l
070	07	m	1	l
070	24	m	1	r
070	03	m	1	r
070	11	m	1	r
070	04	m	1	r
070	18	m	1	r
070	10	m	1	l
070	01	m	1	r
070	15	m	1	l
070	16	m	1	l
070	17	m	1	r
070	20	m	1	l
071	18	m	1	l
071	19	m	1	r
071	24	m	1	r
071	21	m	1	r
071	15	m	1	r
071	09	m	1	l
071	04	m	1	l
071	02	m	1	l
071	23	m	1	r
071	16	m	1	l
071	13	m	1	l
071	20	m	1	r
071	03	m	1	l
071	11	m	1	l
071	10	m	1	l
071	17	m	1	l
071	14	m	1	l
071	22	m	1	r
071	08	m	1	l
072	17	m	1	l
072	14	m	1	r
072	08	m	1	l
072	11	m	1	r
072	13	m	1	r
072	09	m	1	l
072	06	m	1	r
072	02	m	1	l
072	01	m	1	r
072	03	m	1	l
072	18	m	1	l
072	15	m	1	l
072	12	m	1	l
072	04	m	1	r
072	21	m	1	r
072	16	m	1	l
073	02	m	1	r
073	17	m	1	l
073	13	m	1	l
073	12	m	1	l
073	08	m	1	l
073	21	m	1	r
073	18	m	1	r
073	15	m	1	l
073	09	m	1	l
073	05	m	1	l
073	14	m	1	l
073	22	m	1	r
073	07	m	1	l
074	23	m	1	r
074	13	m	1	r
074	06	m	1	r
074	03	m	1	l
074	17	m	1	r
074	27	m	1	l
074	21	m	1	r
074	24	m	1	l
074	04	m	1	l
074	12	m	1	r
074	10	m	1	l
074	05	m	1	r
074	18	m	1	l
074	20	m	1	l
074	25	m	1	r
074	01	m	1	r
074	14	m	1	r
074	15	m	1	r
074	22	m	1	r
074	11	m	1	l
074	07	m	1	r
075	12	m	1	l
075	18	m	1	l
075	09	m	1	l
075	10	m	1	l
075	04	m	1	r
075	02	m	1	l
075	16	m	1	l
075	22	m	1	l
075	19	m	1	l
075	15	m	1	l
075	20	m	1	l
075	05	m	1	l
075	14	m	1	l
075	13	m	1	l
075	21	m	1	l
076	04	f	1	r
076	16	f	1	r
076	05	f	1	r
076	20	f	1	l
076	03	f	1	r
076	14	f	1	l
076	07	f	1	l
076	01	f	1	r
076	18	f	1	r
076	08	f	1	l
076	15	f	1	l
076	09	f	1	r
076	06	f	1	l
077	13	m	1	r
077	12	m	1	r
077	06	m	1	r
077	08	m	1	l
077	11	m	1	l
077	04	m	1	r
077	09	m	1	l
077	10	m	1	l
077	03	m	1	r
077	14	m	1	r
077	02	m	1	l
078	13	f	1	l
078	11	f	1	l
078	02	f	1	l
078	19	f	1	l
078	05	f	1	r
078	16	f	1	l
078	15	f	1	l
078	07	f	1	r
078	17	f	1	l
078	12	f	1	l
078	18	f	1	l
078	04	f	1	l
078	03	f	1	l
078	08	f	1	l
079	01	f	1	l
079	23	f	1	r
079	16	f	1	l
079	15	f	1	l
079	20	f	1	l
079	05	f	1	l
079	14	f	1	l
079	22	f	1	l
079	19	f	1	l
079	17	f	1	l
079	02	f	1	l
079	06	f	1	r
079	07	f	1	l
079	09	f	1	l
079	03	f	1	l
079	13	f	1	l
080	01	f	1	l
080	07	f	1	l
080	06	f	1	l
080	03	f	1	r
080	14	f	1	l
080	13	f	1	l
080	08	f	1	l
080	10	f	1	l
080	05	f	1	r
080	17	f	1	r
080	02	f	1	l
080	15	f	1	l
081	04	m	1	l
081	23	m	1	r
081	08	m	1	r
081	10	m	1	r
081	13	m	1	r
081	03	m	1	r
081	28	m	1	l
081	24	m	1	l
081	02	m	1	l
081	15	m	1	r
081	25	m	1	l
081	14	m	1	r
081	06	m	1	r
081	17	m	1	r
081	21	m	1	r
081	05	m	1	r
081	07	m	1	r
082	17	m	4	r
082	28	m	4	l
082	08	m	4	r
082	25	m	4	r
082	06	m	4	l
082	24	m	4	r
082	29	m	4	l
082	13	m	4	r
082	10	m	4	l
082	11	m	4	r
082	02	m	4	l
082	14	m	4	l
082	27	m	4	r
082	26	m	4	l
082	05	m	4	l
082	16	m	4	r
082	20	m	4	l
082	22	m	4	l
082	12	m	4	l
082	30	m	4	l
082	01	m	4	r
082	07	m	4	r
083	09	f	1	l
083	23	f	1	l
083	17	f	1	l
083	30	f	1	l
083	13	f	1	l
083	21	f	1	r
083	12	f	1	l
083	24	f	1	l
083	25	f	1	l
083	20	f	1	l
083	14	f	1	l
083	05	f	1	l
083	15	f	1	l
083	04	f	1	l
083	18	f	1	l
083	08	f	1	r
083	29	f	1	l
083	02	f	1	l
084	30	m	4	r
084	10	m	4	l
084	01	m	4	l
084	05	m	4	l
084	20	m	4	l
084	07	m	4	l
084	22	m	4	l
084	13	m	4	r
084	24	m	4	l
084	12	m	4	l
084	14	m	4	l
084	16	m	4	l
084	02	m	4	l
084	17	m	4	r
084	11	m	4	r
084	26	m	4	r
084	21	m	4	l
084	06	m	4	r
084	18	m	4	l
084	19	m	4	l
084	23	m	4	r
084	03	m	4	r
084	09	m	4	r
085	23	m	1	l
085	17	m	1	l
085	13	m	1	r
085	09	m	1	r
085	14	m	1	l
085	03	m	1	r
085	27	m	1	r
085	16	m	1	l
085	22	m	1	l
085	10	m	1	l
085	26	m	1	l
085	28	m	1	l
085	24	m	1	r
085	21	m	1	l
085	06	m	1	l
085	11	m	1	r
085	25	m	1	l
085	05	m	1	l
085	12	m	1	l
086	03	m	4	l
086	09	m	4	l
086	05	m	4	r
086	02	m	4	r
086	26	m	4	r
086	24	m	4	l
086	25	m	4	l
086	30	m	4	l
086	22	m	4	l
086	11	m	4	r
086	20	m	4	r
086	06	m	4	l
086	19	m	4	r
086	15	m	4	l
086	27	m	4	r
086	28	m	4	l
086	01	m	4	r
086	07	m	4	r
086	08	m	4	r
087	30	m	1	l
087	25	m	1	l
087	15	m	1	l
087	09	m	1	l
087	22	m	1	r
087	07	m	1	l
087	26	m	1	l
087	12	m	1	r
087	16	m	1	l
087	19	m	1	r
087	10	m	1	l
087	13	m	1	l
087	17	m	1	l
087	18	m	1	r
087	14	m	1	l
087	11	m	1	r
087	03	m	1	l
087	28	m	1	l
087	20	m	1	r
087	27	m	1	r
087	29	m	1	r
087	02	m	1	r
087	21	m	1	l
088	26	m	1	l
088	10	m	1	r
088	27	m	1	l
088	07	m	1	l
088	15	m	1	l
088	29	m	1	l
088	08	m	1	l
088	21	m	1	r
088	09	m	1	r
088	03	m	1	l
088	23	m	1	r
088	24	m	1	l
088	16	m	1	l
088	19	m	1	l
088	02	m	1	r
088	17	m	1	l
088	04	m	1	l
088	05	m	1	r
088	11	m	1	l
088	12	m	1	l
088	13	m	1	l
088	22	m	1	r
089	23	m	1	l
089	21	m	1	l
089	24	m	1	l
089	17	m	1	l
089	07	m	1	r
089	26	m	1	l
089	29	m	1	l
089	30	m	1	l
089	06	m	1	r
089	13	m	1	l
089	22	m	1	l
089	14	m	1	r
089	28	m	1	r
089	27	m	1	l
089	19	m	1	r
089	10	m	1	r
089	05	m	1	r
089	04	m	1	r
090	15	f	1	l
090	18	f	1	r
090	16	f	1	r
090	20	f	1	r
090	22	f	1	r
090	21	f	1	r
090	14	f	1	r
090	26	f	1	l
090	08	f	1	l
090	17	f	1	l
090	07	f	1	l
090	02	f	1	l
090	19	f	1	r
090	12	f	1	r
090	09	f	1	r
090	25	f	1	l
090	05	f	1	l
091	08	m	1	r
091	26	m	1	l
091	18	m	1	l
091	23	m	1	l
091	30	m	1	r
091	25	m	1	l
091	21	m	1	r
091	15	m	1	r
091	09	m	1	l
091	27	m	1	r
091	07	m	1	l
091	22	m	1	r
091	16	m	1	l
091	06	m	1	r
091	12	m	1	l
091	01	m	1	l
091	10	m	1	r
091	02	m	1	l
091	24	m	1	r
091	17	m	1	r
091	20	m	1	l
091	05	m	1	l
091	19	m	1	r
091	29	m	1	r
092	07	m	1	l
092	17	m	1	r
092	30	m	1	l
092	21	m	1	l
092	04	m	1	l
092	19	m	1	l
092	29	m	1	r
092	20	m	1	l
092	15	m	1	r
092	18	m	1	l
092	28	m	1	l
092	13	m	1	l
092	05	m	1	r
092	14	m	1	l
092	26	m	1	l
092	16	m	1	l
092	03	m	1	r
092	06	m	1	r
092	25	m	1	r
092	01	m	1	l
092	09	m	1	l
092	02	m	1	l
092	22	m	1	l
092	24	m	1	r
093	06	m	1	r
093	18	m	1	l
093	12	m	1	r
093	26	m	1	l
093	17	m	1	r
093	03	m	1	r
093	21	m	1	l
093	07	m	1	r
093	14	m	1	l
093	15	m	1	l
093	01	m	1	r
093	13	m	1	r
093	04	m	1	r
093	23	m	1	r
093	19	m	1	r
093	09	m	1	r
093	27	m	1	l
093	05	m	1	l
093	24	m	1	r
094	27	m	1	r
094	22	m	1	r
094	10	m	1	l
094	24	m	1	r
094	02	m	1	r
094	16	m	1	r
094	07	m	1	l
094	26	m	1	l
094	25	m	1	l
094	28	m	1	l
094	06	m	1	r
094	12	m	1	l
094	29	m	1	l
094	03	m	1	l
094	09	m	1	l
094	18	m	1	l
094	13	m	1	r
